image,filter,kernel,noise,psnr
cat,mean,1,0.05,24.8906
cat,median,1,0.05,58.8536
cat,weighted,1,0.05,24.1261
cat,mean,1,0.1,21.1801
cat,median,1,0.1,44.9916
cat,weighted,1,0.1,20.532
cat,mean,1,0.2,17.0745
cat,median,1,0.2,30.413
cat,weighted,1,0.2,16.5845
mona_lisa,mean,1,0.05,nan
mona_lisa,median,1,0.05,nan
mona_lisa,weighted,1,0.05,nan
mona_lisa,mean,1,0.1,nan
mona_lisa,median,1,0.1,nan
mona_lisa,weighted,1,0.1,nan
mona_lisa,mean,1,0.2,nan
mona_lisa,median,1,0.2,nan
mona_lisa,weighted,1,0.2,nan
